ID,c_pers,c_lang,c_lang_orig,c_date,desc_en,desc_cz,src_en,src_cz
1,Morihei Ueshiba,cz,jp,,"Máte-li v sobě život, jsou vám přístupny všechny pravdy a tajemství, protože pravda vesmíru je obsažena v každém lidském jedinci.","Máte-li v sobě život, jsou vám přístupny všechny pravdy a tajemství, protože pravda vesmíru je obsažena v každém lidském jedinci.",,
2,Vlasta Burian,cz,cz,,"Žena se dívá do prázdna jen tehdy, nemá-li zrcadlo.","Žena se dívá do prázdna jen tehdy, nemá-li zrcadlo.",,
3,Vlasta Burian,cz,cz,,"Humor není pro mne odvětvím divadelního umění, nýbrž samou podstatou života.","Humor není pro mne odvětvím divadelního umění, nýbrž samou podstatou života.",,
4,Vlasta Burian,cz,cz,,Nejkrásnější život v době tolika vyhlášek mají analfabeti.,Nejkrásnější život v době tolika vyhlášek mají analfabeti.,,
5,Vlasta Burian,cz,cz,,Pravda je jen jedna. Proto ji nemůžeme mít každý.,Pravda je jen jedna. Proto ji nemůžeme mít každý.,,
6,Vlasta Burian,cz,cz,,"Muži dělají za řečí tečku, ženy dvojtečku.","Muži dělají za řečí tečku, ženy dvojtečku.",,
7,Albert Einstein,cz,en,,"Inteligentní lidé se snaží problémy řešit, geniální se je snaží nedělat.","Inteligentní lidé se snaží problémy řešit, geniální se je snaží nedělat.",,
8,Albert Einstein,cz,en,,Pouze dvě věci jsou nekonečné. Vesmír a lidská hloupost. U té první si nejsem tak zcela jist.,Pouze dvě věci jsou nekonečné. Vesmír a lidská hloupost. U té první si nejsem tak zcela jist.,,
9,Albert Einstein,cz,en,,"Žádné množství pokusů nikdy nemůže dokázat, že jsem měl pravdu. Jediný však kdykoliv může dokázat, že jsem se mýlil.","Žádné množství pokusů nikdy nemůže dokázat, že jsem měl pravdu. Jediný však kdykoliv může dokázat, že jsem se mýlil.",,
10,Albert Einstein,cz,en,,"Je to ale smutné období, když je snadnější rozbít atom než zničit předsudky.","Je to ale smutné období, když je snadnější rozbít atom než zničit předsudky.",,
11,Albert Einstein,cz,en,,"Je-li nepořádek na stole odrazem nepořádku v mysli, co potom odráží prázdný stůl?","Je-li nepořádek na stole odrazem nepořádku v mysli, co potom odráží prázdný stůl?",,
12,Albert Einstein,cz,en,,"Nevím, čím se bude bojovat ve třetí světové válce, ale v té čtvrté to budou klacky a kameny.","Nevím, čím se bude bojovat ve třetí světové válce, ale v té čtvrté to budou klacky a kameny.",,
13,Albert Einstein,cz,en,,"Existují tisíce způsobů, jak zabít čas, ale žádný jak ho vzkřísit.","Existují tisíce způsobů, jak zabít čas, ale žádný jak ho vzkřísit.",,
14,Albert Einstein,cz,en,,Vědět málo je nebezpečné a vědět mnoho také.,Vědět málo je nebezpečné a vědět mnoho také.,,
15,Albert Einstein,cz,en,,"Kdybych měl k dispozici hodinu na zvládnutí problému, na kterém by závisel můj život, strávil bych 40 minut jeho studiem, 15 minut jeho analýzou a 5 minut jeho řešením.","Kdybych měl k dispozici hodinu na zvládnutí problému, na kterém by závisel můj život, strávil bych 40 minut jeho studiem, 15 minut jeho analýzou a 5 minut jeho řešením.",,
16,Albert Einstein,cz,en,,Na světě nejtěžší věc k pochopení daň z příjmu.,Na světě nejtěžší věc k pochopení daň z příjmu.,,
17,Mark Twain,en,en,,"Politicians and diapers must be changed often, and for the same reason.","Politicians and diapers must be changed often, and for the same reason.",,
18,Buddha,en,in,,You only lose what you cling to.,You only lose what you cling to.,,
19,Anonym,cz,cz,,"Ženy neprdí. Ženy vypouštějí obláčky třpytek, které znějí jako jednorožčí smích a voní jako duha.","Ženy neprdí. Ženy vypouštějí obláčky třpytek, které znějí jako jednorožčí smích a voní jako duha.",,
20,Anonym,en,en,,"Jack of all trades, master of none.","Jack of all trades, master of none.","https://en.wikipedia.org/wiki/Jack_of_all_trades,_master_of_none",
21,Roman Quardiny,cz,en,,Smrt vstupuje do života a sama se stává životem.,Smrt vstupuje do života a sama se stává životem.,,
22,Albert Einstein,cz,en,,"Nejnepochopitelnější vlastností světa je, že je pochopitelný.","Nejnepochopitelnější vlastností světa je, že je pochopitelný.",,
23,Paul Coelho,cz,es,,"Prvním příznakem toho, že zabíjíme naše sny je nedostatek času. Druhým příznakem toho, že naše sny jsou mrtvé, je jistota. Třetím příznakem smrti našich snů je smíření.","Prvním příznakem toho, že zabíjíme naše sny je nedostatek času. Druhým příznakem toho, že naše sny jsou mrtvé, je jistota. Třetím příznakem smrti našich snů je smíření.",,
