ID,Analogie,Voda,Vzduch,Ohen,Zeme
1,Skupenství,tekuté,plynné,fluidické,pevné
2,Povaha,kolísavá,souladná,ničivá,vyprahlá
3,Funkce,cirkulační,vyživovací,silobudná,přijímavá
4,Činnost,zřeďující,zmírňující,násilná,reakční
5,Pohyb,odrazný,normální,výstředný,brzdivý
6,Účinek,rozkladný,přitažlivý,rozptylný,soustředivý
7,Plození,vajíčka ženy,sémě muže,oplození,těhotnost
8,Roční počasí,zima,jaro,léto,podzim
9,Slunce,půlnoční,vycházející,polední,zapadající
10,Luna,plněk,prvá čtvrt,nový měsíc,poslední čtvrt
11,Cit,podajnost,láska,vášeň,sobectví
12,Schopnosti,nestálé,vyrovnovážené,skvělé,hluboké
13,Charakter,proměnlivý,soudný,nadšený,zdrženlivý
14,Věk,dětský,dospělý,zralý,stařecký
15,Letory,flagmatická,sanuinická,cholerická,melancholická
16,Ústrojí,břicho,hruď,hlava,nohy
17,Trávení,neutrální,solné,zásadité,kyselé
18,Chuť,bezchutnost,sladká,hořká,kyselá
19,Vůně,neurčitá,líbezná,silná,ostrá
