ID,nazev,nazev_en,botanik,alias,typ,popis,puvod,vune,chut,varovani,obr,ucinky,sklizi,propojeno
1,Durian,Durian,durian cibetkový,Král ovoce,0,ostnatý se žlutým masem,Thajsko,pronikavý pach,sladká ořechová,,durian.jpg,,,178
2,Acai bobule,Acai berries,euterpe brazilská,Ovoce bohů,1,palma Acai v pralesech,Brazílie,,,,acai.jpg,"nejsilnější přírodní antioxidant,  urychluje metabolismus, snižuje cholesterol, napomáhá optimalizaci tělesných funkcí, podporuje pocit svěžesti a tlumí chuť k jídlu",,
3,Aloe Vera,Aloe Vera,aloe pravá,,13,sukulentní rostlina,severní Afrika,,,,aloe_vera.jpg,"antibakteriální, antivirové, s pozitivním působením na svaly a klouby, zlepšuje krevní tlak, pomáhá při překyselení žaludku a pálení žáhy, prevence nádorových onemocnění, doplněk stravy, antihistamické vlastnosti (popálení, opary, alergické reakce)",,
4,Chia,Chervil,šalvěj hispánská,Chia semínka,13,,jižní Amerika,,,,chia.jpg,,0101,253
5,Chlorella,Chlorella,,,0,Jednobuněčná sladkovodní řasa,,,,,chlorela.jpg,"Představuje jeden z nejbohatších zdrojů vitamínů, minerálů a dalších vzácných látek. Obsahuje přírodní antibiotikum jež dokáže zastavit či potlačit řadu infekcí včetně boreliózy. Podporuje trávení, oslabuje chronickou únavu a pozitivně ovlivňuje spánek, myšlení a paměť.",,
7,Maka kořen,Maca root,řeřicha peruánská,,,kořen připomínající řepu,Peru,,,,maca.jpg,"působí na zvýšení fyzické odolnosti, vytrvalosti a optimalizování hormonální hladiny. Způsobuje nárůst síly a svalové hmoty, posiluje imunitu a pomáhá při léčbě osteoporózy, chudokrevnosti i rakoviny.",,
8,Ječmen,Barley,ječmen obecný,,,Extrakt z listů mladého ječmene,,,,,jecmen.jpg,"má vysokou výživovou hodnotu spojenou s velkými detoxikačními účinky. Snižuje překyselení organismu, tělesné pachy a riziko rakoviny. Dlouhodobě zlepšuje psychiku, normalizuje hladinu cukrů v krvi a působí příznivě na peristaltiku střev.",,51
9,Jackfruit,Jackfruit,chlebovník různolistý,,0,"roste na chlebovníku, vážící až 20 kg",Malajsie,vůně po svěžích banánech a mangu,chuť po svěžích banánech a mangu,slupka obsahuje přírodní latex,jackfruit.jpg,,,185
10,Pitahaya,Dragonfruit,pithaya,,0,plody kaktusu,Vietnam,,připomíná meloun nebo kiwi,,dragonfruit.jpg,,,
11,Maracuja,Passionfruit,Mučenka jedlá,,0,,Vietnam,,sladkokyselá s pocitem exploze svěžesti,,passionfruit.jpg,,,198
12,Salak,Snakefruit,Salaka jedlá,,0,trvanlivé ovoce se slupkou připomínající hadí kůži,Thajsko,,"připomíná jahody, ananas a banán v lehce zemitém nádechu",pecka uvnitř nejedlá,snakefruit.jpg,,,
13,Longan,Longan,Longan,Dračí oko,0,,Vietnam,aromatická,medová,pecka uvnitř nejedlá,longan.jpg,,,466
14,Banán,Banana,Banánovník,,0,,,,,,banan.jpg,,,167
15,Baby banán,Banana,Banánovník druhý,baby banana,0,,Thajsko,,intenzivnější a sladší,,banan_baby.jpg,,,167
16,Cukr třtinový,Sugar,třtinovec cukrový,,0,,JAR,,sladká a zelená,,trtina.jpg,,,
17,Guanábana,Graviola,anona ostnitá,Anona,0,,Malajsie,,"kombinace jahod, kokosu, ananasu a banánu",semena se nekonzumují,guanabana.jpg,,,
18,Gacfruit,Gacfruit,Gac,,0,"velice měkké a křehké, ceremoniální ovoce",Vietnam,,"svěží, plná a nepříliš sladká",,gacfruit.jpg,,,
19,Salát,Salad,locika setá (salát),,13,,,,,,,,,837
20,Špenát,Spinach,špenát setý,,13,,,,,,,,0100,396
21,Polníček,Lamb's lettuce,kozlíček polníček,,13,,,,,,,,,
22,Hořčice,Mustard,bělohořčice setá,,13,,,,,,,,,356
23,Roketa,Rocket salad,roketa setá,,13,,,,,,,,,423
24,Vinná réva,Grape,réva vinná,Víno,0,,Středozemí,,,,,,,182
25,Šťovík,Sorrel,šťovík kyselý,,13,,Evropa/Asie,,,,,,0100,443
26,Mangold,Mangold,mangold,,1,,,,,,,,,
27,Kopřiva,Nettle,kopřiva dvoudomá,,13,,,,,,,,,
28,Kapusta listová,Cabbage,dřeňová kapusta,,1,,,,,,,,,353
29,Květák,Cauliflower,květák,,1,,,,,,,,,354
30,Kedluben,Kohlrabi,kedluben,,1,,,,,,,,,359
31,Brokolice,Broccoli,brokolice,,1,,,,,,,,,351
32,Kadeřávek,Cabbage,kadeřavá kapusta,savoy cabage,1,,,,,,,,,353
33,Růžičková kapusta,Brussels Sprout,růžičková kapusta,,1,,,,,,,,,352
34,Kapusta hlávková,Cabbage,hlávková kapusta,,1,,,,,,,,,353
35,Hlávkové zelí,Cabbage,brukev zelná (hlávkové zelí),,1,,,,,,,,,353
36,Zelí pekingské,Cabbage,brukev pekingská,,1,,,,,,,,,353
37,Granátové jablko,Pomegranate,marhaník granátový,,0,,,,,,,,,394
38,Citron,Lemon,citrus limonový,,0,,,,,,,,0001,240
39,Limetka,Lime,citrus limonový limeta,,0,,,,,,,,,241
40,Ostružina,Blackberry,ostružiník maliník (maliník),,0,,,,,,,,,222
41,Malina,Raspberry,ostružiník maliník (maliník),,0,,,,,,,,,233
42,Jablko,Apple,jabloň domácí,jablíčko,0,,,,,,,,,162
43,Hruška,Pear,hrušeň obecná,,0,,,,,,,,,202
44,Švestka,Plum,slivoň švestka (švestka),,0,,,,,,,,0001,207
45,Meruňka,Apricot,meruňka obecná,,0,,,,,,,,0001,164
46,Broskev,Peach,broskvoň obecná,,0,,,,,,,,,201
47,Třešeň,Cherry,třešeň ptačí (třešeň),,0,,,,,,,,,224
48,Višeň,Sour Cherry,třešeň višeň (višeň),,0,,,,,,,,,226
49,Arašídy,Peanut,podzemnice olejná,,2,,,,,,,,,287
50,Celer,Celery,miřík celer,celer řapíkatý,1,,,,,,,,,329
51,Cibule,Onion,cibule kuchyňská,"red skin, white skin, bílá, červená",1,,,,,,,,1100,348
52,Česnek,Garlic,česnek kuchyňský,,13,,,,,,,,,259
53,Lanýž,Truffle,,,,,,,,,,,,329
54,Kešu,Cashew nut,ledvinovník západní,,2,,,,,,,,1100,411
55,Madle,Almond,mandloň obecná,,2,,,,,,,,1100,281
56,Cibule jarní,Welsh onion,cibule šalotka,,1,,,,,,,,1100,472
57,Čočka,Lentils,čočka kuchyňská,,,,,,,,,,,429
58,Cizrna,Chickpea,cizrna beraní,,,,,,,,,,,417
59,Čokoláda,Chocolate,kakaovník pravý,,,,,,,,,,,817
60,Cuketa,Zucchini,"tykev, cukina",,1,,,,,,,,,969
61,Dýně,Pumpkin,dýně,,1,,,,,,,,,209
62,Fazole,Beans,fazol obecný,,,,,,,,,,,284
63,Fenykl,Fennel,fenykl obecný,,13,,,,,,,,,257
64,Hrách,Peas,hrách setý,,,,,,,,,,,288
65,Pažitka,Chive,pažitka pobřežní,,13,,,,,,,,0100,343
